yearmon,estacion,min,max,prec,ecoreg,ecoregion,geometry
2012-07,RECONQUISTA,5.67741935483871,18.7903225806452,7.5,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-08,INTA - RECONQUISTA (EMC),23.5548387096774,11.658064516129,111.3,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-08,RECONQUISTA,12.3612903225806,24.141935483871,93.8,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-09,INTA - RECONQUISTA (EMC),25.2033333333333,12.9033333333333,57.5,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-09,RECONQUISTA,13.4233333333333,25.72,54.1,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-10,INTA - RECONQUISTA (EMC),26.2129032258065,16.441935483871,185.8,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-10,RECONQUISTA,16.6354838709677,26.5806451612903,165.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-11,INTA - RECONQUISTA (EMC),30.16,17.5533333333333,40.5,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-11,RECONQUISTA,17.8033333333333,30.3433333333333,47.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-12,INTA - RECONQUISTA (EMC),31.8161290322581,20.3290322580645,312,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-12,RECONQUISTA,20.5193548387097,32.141935483871,293.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-01,INTA - RECONQUISTA (EMC),30.7322580645161,19.8064516129032,281.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-01,RECONQUISTA,20.2516129032258,31.3258064516129,238,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-02,INTA - RECONQUISTA (EMC),31.0678571428571,19.5178571428571,64.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-02,RECONQUISTA,19.6678571428571,31.1571428571429,104,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-03,INTA - RECONQUISTA (EMC),27.0516129032258,16.5741935483871,232,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-03,RECONQUISTA,16.7741935483871,27.4354838709677,204,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-04,INTA - RECONQUISTA (EMC),26.5133333333333,14.85,143.5,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-04,RECONQUISTA,14.9566666666667,26.5933333333333,103.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-05,INTA - RECONQUISTA (EMC),21.7903225806452,12.558064516129,70.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-05,RECONQUISTA,12.7870967741936,21.6903225806452,137.3,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-06,INTA - RECONQUISTA (EMC),19.88,9.04,16.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-06,RECONQUISTA,9.10666666666667,20.0166666666667,17.9,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-07,INTA - RECONQUISTA (EMC),19.8387096774194,9.36774193548387,39.2,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-07,RECONQUISTA,9.72903225806452,20.0322580645161,35,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-08,INTA - RECONQUISTA (EMC),20.7387096774194,6.9741935483871,0.4,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-08,RECONQUISTA,7.50645161290323,20.7967741935484,0.8,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-09,INTA - RECONQUISTA (EMC),24.85,11.4266666666667,48.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-09,RECONQUISTA,11.5466666666667,24.72,50.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-10,INTA - RECONQUISTA (EMC),28.5322580645161,14.5129032258065,65,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-10,RECONQUISTA,14.641935483871,28.7032258064516,51.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-11,INTA - RECONQUISTA (EMC),28.84,17.2033333333333,205.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-11,RECONQUISTA,17.48,29.2533333333333,176.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2013-12,INTA - RECONQUISTA (EMC),34.3645161290323,21.0064516129032,25.4,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2013-12,RECONQUISTA,21.2870967741936,34.1354838709677,48.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-01,INTA - RECONQUISTA (EMC),33.5193548387097,21.6387096774194,372.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2014-01,RECONQUISTA,21.9387096774194,34.1290322580645,295.5,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-02,RECONQUISTA,21.6035714285714,30.9392857142857,185.3,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-03,RECONQUISTA,16.8451612903226,27.4870967741936,159.9,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-04,RECONQUISTA,15.6233333333333,25.9633333333333,68.6,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-05,RECONQUISTA,14.1451612903226,21.9903225806452,110.9,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-06,RECONQUISTA,10.5733333333333,19.2,6.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-07,RECONQUISTA,10.4967741935484,20.6193548387097,55.1,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-08,RECONQUISTA,10.9193548387097,24.2645161290323,13,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-09,RECONQUISTA,13.7533333333333,24.3166666666667,97,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-10,RECONQUISTA,17.8838709677419,29.5741935483871,61.3,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-11,RECONQUISTA,17.1666666666667,29.46,139.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2014-12,RECONQUISTA,19.5774193548387,29.8741935483871,448.3,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-01,INTA - RECONQUISTA (EMC),31.0548387096774,21.6064516129032,335.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-01,RECONQUISTA,21.8967741935484,32.0935483870968,295,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-02,INTA - RECONQUISTA (EMC),30.7857142857143,20.5357142857143,277.4,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-02,RECONQUISTA,21.225,31.3214285714286,302.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-03,INTA - RECONQUISTA (EMC),29.6387096774194,18.6806451612903,128.7,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-03,RECONQUISTA,18.8451612903226,29.7967741935484,68,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-04,INTA - RECONQUISTA (EMC),28.1033333333333,15.39,46.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-04,RECONQUISTA,15.9066666666667,28.33,48,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-05,INTA - RECONQUISTA (EMC),23.6967741935484,13.6612903225806,51.4,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-05,RECONQUISTA,14.0387096774194,23.7741935483871,52.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-06,INTA - RECONQUISTA (EMC),21.5233333333333,11.9066666666667,45.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-06,RECONQUISTA,12.1133333333333,22.0666666666667,49.7,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-07,INTA - RECONQUISTA (EMC),20.5451612903226,9.50645161290323,6.2,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-07,RECONQUISTA,9.73548387096774,20.6483870967742,1.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-08,INTA - RECONQUISTA (EMC),24.6677419354839,14.1870967741935,239.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-08,RECONQUISTA,14.7741935483871,24.6709677419355,330.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-09,INTA - RECONQUISTA (EMC),24.0566666666667,11.8716666666667,18.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-09,RECONQUISTA,12.0333333333333,23.84,13,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-10,INTA - RECONQUISTA (EMC),24.2161290322581,14.658064516129,96.3,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-10,RECONQUISTA,14.8032258064516,24.4677419354839,117.7,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-11,INTA - RECONQUISTA (EMC),26.6766666666667,17.39,276,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-11,RECONQUISTA,17.5966666666667,27.1233333333333,190.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2015-12,INTA - RECONQUISTA (EMC),29.8516129032258,20.6645161290323,335.7,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2015-12,RECONQUISTA,21.1645161290323,30,263.5,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-01,INTA - RECONQUISTA (EMC),32.6677419354839,22.8225806451613,85.2,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-01,RECONQUISTA,23.3096774193548,32.5548387096774,92,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-02,INTA - RECONQUISTA (EMC),32.6862068965517,22.2862068965517,128.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-02,RECONQUISTA,22.948275862069,32.6689655172414,148.8,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-03,INTA - RECONQUISTA (EMC),27.8161290322581,17.3161290322581,72.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-03,RECONQUISTA,17.8096774193548,27.6548387096774,39.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-04,INTA - RECONQUISTA (EMC),24.77,18.11,504.4,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-04,RECONQUISTA,18.7266666666667,24.8533333333333,456.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-05,INTA - RECONQUISTA (EMC),18.6225806451613,10.6387096774194,11.3,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-05,RECONQUISTA,11,18.4838709677419,13.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-06,INTA - RECONQUISTA (EMC),17.5733333333333,5.41333333333333,16.4,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-06,RECONQUISTA,6.2,17.51,17.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-07,INTA - RECONQUISTA (EMC),18.7677419354839,8.2258064516129,35.5,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-07,RECONQUISTA,9.17096774193548,18.8064516129032,25.5,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-08,INTA - RECONQUISTA (EMC),23.5870967741936,8.88064516129032,56.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-08,RECONQUISTA,10.3516129032258,23.7032258064516,51.3,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-09,INTA - RECONQUISTA (EMC),23.2233333333333,9.77666666666667,16.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-09,RECONQUISTA,10.4066666666667,23.31,13,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-10,INTA - RECONQUISTA (EMC),24.8322580645161,14.4129032258065,261,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-10,RECONQUISTA,14.6612903225806,24.8935483870968,257.3,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-11,INTA - RECONQUISTA (EMC),28.8266666666667,16.1166666666667,113.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-11,RECONQUISTA,16.4966666666667,28.9133333333333,104,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2016-12,INTA - RECONQUISTA (EMC),31.1258064516129,19.8483870967742,129.3,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2016-12,RECONQUISTA,20.2354838709677,31.4516129032258,127.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2017-01,INTA - RECONQUISTA (EMC),32.3161290322581,20.6516129032258,114.3,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2017-01,RECONQUISTA,21.5870967741935,32.1870967741936,95.5,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2017-02,INTA - RECONQUISTA (EMC),30.2285714285714,20.6285714285714,174.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
