anio	mes	estacion	ecoregion	nom_depto	grupo_edad	casos_lepto	poblacion
2014	4	Otoño	Delta e Islas del Paraná	CONSTITUCION	25-44	1	23525
2014	4	Otoño	Delta e Islas del Paraná	LA CAPITAL	0-9	1	84674
2014	4	Otoño	Delta e Islas del Paraná	LA CAPITAL	25-44	2	148926
2014	4	Otoño	Delta e Islas del Paraná	LA CAPITAL	45-64	2	101533
2014	4	Otoño	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2014	4	Otoño	Delta e Islas del Paraná	ROSARIO	45-64	1	242319
2014	4	Otoño	Espinal	CASTELLANOS	25-44	1	49386
2014	4	Otoño	Espinal	LAS COLONIAS	15-24	1	17440
2014	4	Otoño	Espinal	SAN CRISTOBAL	25-44	1	17882
2014	4	Otoño	Espinal	SAN JUSTO	0-9	1	6654
2014	4	Otoño	Espinal	SAN JUSTO	15-24	2	6682
2014	4	Otoño	Espinal	SAN JUSTO	25-44	1	10573
2014	4	Otoño	Espinal	SAN JUSTO	45-64	2	8112
2014	5	Otoño	Chaco Húmedo	VERA	15-24	1	9127
2014	5	Otoño	Delta e Islas del Paraná	GENERAL OBLIGADO	15-24	1	31969
2014	5	Otoño	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2014	5	Otoño	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2014	5	Otoño	Espinal	LAS COLONIAS	25-44	1	29165
2014	5	Otoño	Espinal	SAN JERONIMO	10-14	1	6787
2014	5	Otoño	Espinal	SAN JUSTO	15-24	2	6682
2014	5	Otoño	Pampa	GENERAL LOPEZ	25-44	1	50512
2014	6	Otoño	Delta e Islas del Paraná	GARAY	25-44	1	5360
2014	6	Otoño	Delta e Islas del Paraná	GENERAL OBLIGADO	15-24	1	31969
2014	6	Otoño	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2014	6	Otoño	Delta e Islas del Paraná	ROSARIO	25-44	2	347729
2014	6	Otoño	Pampa	SAN LORENZO	15-24	1	26598
2014	7	Invierno	Delta e Islas del Paraná	GARAY	25-44	1	5360
2014	7	Invierno	Delta e Islas del Paraná	LA CAPITAL	25-44	2	148926
2014	7	Invierno	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2014	7	Invierno	Espinal	CASTELLANOS	65+	1	20300
2014	7	Invierno	Espinal	SAN JUSTO	25-44	1	10573
